Dateiname,Tag1,Tag1_P,Tag2,Tag2_P,Tag3,Tag3_P,Tag4,Tag4_P,Tag5,Tag5_P
1998_08eba0cf-3a36-4655-9bff-ce2518934a21_electronic.jpg;paper,0.9927752,illustration,0.9771537,old,0.94386125,art,0.9357519,antique,0.92887044,
1998_09cdc71c-ed69-3be2-a587-cf475e3612db_country.jpg;portrait,0.9986001,people,0.9973103,adult,0.9913347,woman,0.98107934,monochrome,0.9782528,
1998_15a9376e-5407-44cb-adaf-55242c494cca_electronic.jpg;illustration,0.996904,map,0.99260867,abstract,0.9860755,ball-shaped,0.9819486,shape,0.97610366,
1998_302b15bf-5f05-4e56-8d9b-be73c4c13edf_electronic.jpg;invertebrate,0.9710063,science,0.970821,no person,0.96300805,one,0.9416954,biology,0.9008522,
1998_3fb4454a-64b6-4981-8748-4cdd889fe04b_hip-hop.jpg;illustration,0.9551568,set,0.94735336,vector,0.9395894,design,0.9375136,no person,0.9343713,
1998_46763006-00e6-4fd4-8788-5e75f5e7f170_hip-hop.jpg;illustration,0.9849235,man,0.9381276,art,0.93282604,Christmas,0.91256547,winter,0.8759085,
1998_508ff93f-7cef-49e3-a16c-368988860735_country.jpg;illustration,0.9944471,people,0.9913865,vertical,0.9872277,adult,0.9814748,portrait,0.97844535,
1998_84179abc-b714-40fc-8390-8518d57a41d5_electronic.jpg;texture,0.99157965,pattern,0.9896896,decoration,0.9795561,candy,0.97882605,desktop,0.97838634,
1998_84cfc47e-60e8-4256-a87f-b952056288dc_hip-hop.jpg;flame,0.9917895,danger,0.9795033,people,0.9761888,man,0.97157645,smoke,0.96162486,
1998_a0dfcd18-8b1a-4efe-aa62-13b44eefcd86_rock.jpg;illustration,0.9887444,people,0.98190725,man,0.97048765,adult,0.95701134,woman,0.9085493,
1998_a6a37a40-793d-4528-9a2c-4e8c7169e4c7_pop.jpg;people,0.95092976,child,0.9351347,fun,0.9203507,man,0.9106169,recreation,0.9078641,
1998_a748a984-1790-48bf-9f92-15d5f8152fe2_country.jpg;Halloween,0.97848356,woman,0.97017086,dark,0.9642612,horror,0.958979,retro,0.95433843,
1998_b1505d97-4951-486e-84e0-1bc01f2a8567_electronic.jpg;no person,0.9846308,people,0.97267395,adult,0.954749,architecture,0.9522414,indoors,0.94888747,
