,filename,genre,hash,minNeighbors,people,scaleFactor
148,"['1997_f0781963-a86c-44b8-b6f3-6f9982832e3d_electronic', 'jpg']",electronic,f0781963-a86c-44b8-b6f3-6f9982832e3d,4,0,1.09
149,"['1998_08eba0cf-3a36-4655-9bff-ce2518934a21_electronic', 'jpg']",electronic,08eba0cf-3a36-4655-9bff-ce2518934a21,4,0,1.09
150,"['1998_09cdc71c-ed69-3be2-a587-cf475e3612db_country', 'jpg']",country,09cdc71c-ed69-3be2-a587-cf475e3612db,4,0,1.09
151,"['1998_15a9376e-5407-44cb-adaf-55242c494cca_electronic', 'jpg']",electronic,15a9376e-5407-44cb-adaf-55242c494cca,4,0,1.09
152,"['1998_302b15bf-5f05-4e56-8d9b-be73c4c13edf_electronic', 'jpg']",electronic,302b15bf-5f05-4e56-8d9b-be73c4c13edf,4,0,1.09
153,"['1998_3fb4454a-64b6-4981-8748-4cdd889fe04b_hip-hop', 'jpg']",hip-hop,3fb4454a-64b6-4981-8748-4cdd889fe04b,4,0,1.09
154,"['1998_46763006-00e6-4fd4-8788-5e75f5e7f170_hip-hop', 'jpg']",hip-hop,46763006-00e6-4fd4-8788-5e75f5e7f170,4,0,1.09
155,"['1998_508ff93f-7cef-49e3-a16c-368988860735_country', 'jpg']",country,508ff93f-7cef-49e3-a16c-368988860735,4,0,1.09
156,"['1998_84179abc-b714-40fc-8390-8518d57a41d5_electronic', 'jpg']",electronic,84179abc-b714-40fc-8390-8518d57a41d5,4,0,1.09
157,"['1998_84cfc47e-60e8-4256-a87f-b952056288dc_hip-hop', 'jpg']",hip-hop,84cfc47e-60e8-4256-a87f-b952056288dc,4,0,1.09
158,"['1998_a0dfcd18-8b1a-4efe-aa62-13b44eefcd86_rock', 'jpg']",rock,a0dfcd18-8b1a-4efe-aa62-13b44eefcd86,4,0,1.09
159,"['1998_a6a37a40-793d-4528-9a2c-4e8c7169e4c7_pop', 'jpg']",pop,a6a37a40-793d-4528-9a2c-4e8c7169e4c7,4,0,1.09
160,"['1998_a748a984-1790-48bf-9f92-15d5f8152fe2_country', 'jpg']",country,a748a984-1790-48bf-9f92-15d5f8152fe2,4,0,1.09
161,"['1998_b1505d97-4951-486e-84e0-1bc01f2a8567_electronic', 'jpg']",electronic,b1505d97-4951-486e-84e0-1bc01f2a8567,4,0,1.09
162,"['1998_b58b451e-77e8-4d11-a3ed-99a64df539d5_electronic', 'jpg']",electronic,b58b451e-77e8-4d11-a3ed-99a64df539d5,4,1,1.09
163,"['1998_bfdf5e10-043e-47fb-bbde-3dcd16e13fc5_hip-hop', 'jpg']",hip-hop,bfdf5e10-043e-47fb-bbde-3dcd16e13fc5,4,2,1.09
164,"['1998_d28b1565-137e-475b-b554-a4a9cde3810b_rock', 'jpg']",rock,d28b1565-137e-475b-b554-a4a9cde3810b,4,1,1.09
165,"['1998_d6521901-fa16-451d-86f3-50273ff5fb05_hip-hop', 'jpg']",hip-hop,d6521901-fa16-451d-86f3-50273ff5fb05,4,1,1.09
